Governor ID,Governor Name,Power,DKP,DKP,Clan
209299428,douby 7,24059224,2952468,2952468,SAL
209843396,ᶲLe Trong Tan,24027634,0,0,
209756441,ᴰᴷllama2502,23958494,582362,582362,AL
210295752,24 X҉Camelotik,23951412,0,0,
210313435,Aldo247,23886342,0,0,LW
210433741,24 X҉ Palomon,23678544,0,0,
208183840,Third Option,23624545,0,0,ADRL
210387001,Cá161691,23619012,2173999,2173999,AL
209986084,maiconphieu,23611982,142332,142332,AL
208174479,RW ALEXANAH,23569402,0,0,
209926937,우라차차,23528433,0,0,
209218288,GoodVin mini,23469845,0,0,
209989088,24X҉ Alexander,23418684,0,0,
209830443,BellumDux,23346084,0,0,
210622572,Radamanthys,23189174,705608,705608,LW
211250823,ᴬᵈBethoven,23182561,30028,30028,LW
209872477,Aryta,22996481,810006,810006,LW
209871082,Beb0,22964624,1759581,1759581,LW
211557716,ᴰᴾCyanide,22876350,0,0,LW
210399669,bySel,22869442,0,0,
209858936,RW Zill,22869113,1403654,1403654,LW
210434561,24 X҉ThuyAn2,22819901,0,0,AL
210330736,Charli300,22806239,0,0,SAL
209845456,Kyoto1773,22749614,8760,8760,SAL
210402077,24 X҉   NKN,22611198,0,0,
210396149,MozzA,22609674,0,0,
210443073,ᴿᵂDMAᴿᵂ,22534611,0,0,
209902500,бронсон,22533202,0,0,
210406925,kishmish1,22508251,3824,3824,ADRL
209835098,ᴿᵂ DuongBeo,22466236,57364,57364,AL
210426611,Pé Chanh 2k6,22404724,460218,460218,LW
210401075,VoidAlbion,22366438,173342,173342,LW
210584534,Ryyysiek 2,22360048,0,0,ADRL
208720515,ᴿᵂviva5555,22314888,33398,33398,LW
208226755,ᴿᵂGRAYWOLF,22261252,392482,392482,AL
207689266,ᴿᵂManuel,22229861,103904,103904,AL
210562229,Panda Legion,22222311,680542,680542,AL
209806538,ANNY20,22217679,2915486,2915486,LW
210402314,Мех,22192392,2682912,2682912,AL
211311750,Sergо,22190843,77412,77412,AL
210189446,Angry R bear,22175323,548096,548096,LW
210258071,znic,22171533,0,0,
211856683,HOTBEAST II,22137165,1883732,1883732,LW
209916577,24 X҉  Don,21951150,0,0,
210330344,buonngu,21942720,133248,133248,AL
211297033,ᴿᵂ DuongBeu,21920368,6880,6880,LW
210403265,SlowZ06guy,21898746,0,0,
211892788,ᶲJW4101 Farma,21840907,0,0,
207688109,RWxLoneStar,21806060,0,0,AL
208008607,F4rhan Fill,21805127,0,0,
210806310,Jaehaerys 1er,21676501,0,0,ADRL
207579331,24 X҉ SNØŌWミ,21443329,50840,50840,
210372206,Sela8,21411998,803895,803895,
207057491,ˣⁿDrina,21402302,652224,652224,ADRL
210373344,Oulboy,21359090,1441288,1441288,AL
210370357,thegoathimself,21251945,207864,207864,LW
208211218,ᴿᵂ Rooster,21199296,1394926,1394926,AL
209974432,fire001,21124941,10188,10188,
210376765,BEYAZID 55,21071401,2349950,2349950,LW
209103130,ᶲ DansKingdom,21037408,403684,403684,
210245347,Szoboslai8,21023323,0,0,
210195820,Pouce normaux,21003671,1005710,1005710,LW
207189272,ᴿSAURON,20939986,238003,238003,LW
210888570,Fozzie 3,20931240,0,0,ADRL
209899711,Ninnitt,20912649,403765,403765,AL
209842652,Burak3523,20838688,0,0,AL
209885315,ᴿᵂKapo,20798718,1597310,1597310,AL
210432841,Nunm,20733089,0,0,
209112837,ᶲAKa Rùa,20725041,0,0,
209312381,Yola61,20704844,7028,7028,ADRL
210006467,sSnoopy,20704574,60728,60728,ADRL
210225102,humilde manco,20685446,1568437,1568437,LW
210372545,ᴾᴱStonəy,20674879,0,0,ADRL
210679087,Mitsumia,20663691,0,0,LW
207688111,Rwjin2,20641873,214174,214174,
209696150,zia tok,20571909,0,0,
210944394,24 X҉  Full,20516655,786277,786277,AL
212333596,ᴹɪɴɪK0uisF,20477980,99212,99212,
210377522,I54c,20441979,858962,858962,AL
209449139,ᶜᵍDextrixs,20423707,956243,956243,LW
209617120,NTTha farm,20402448,303788,303788,LW
210834666,harryg91,20371735,99940,99940,ADRL
210039896,Menezobrrr,20360700,3910,3910,LW
210432676,24 X҉  Qhà,20282333,0,0,
210664315,lãotứk,20253958,188,188,ADRL
210376802,かかってこい,20231619,0,0,
208936123,ᶻᵒAdamLeft,20187405,1464335,1464335,
209794039,ฝันดี,20163116,1466296,1466296,LW
209762988,ᴰᵀŞahmar,20146389,0,0,LW
209709756,aj rimmer,20140039,2583963,2583963,LW
207651897,24 X҉ Aureliaツ,20110853,34072,34072,SAL
205283625,24 X҉  OBITO,20084910,0,0,
210398747,ÐarkKnight,20046673,193992,193992,LW
210267199,De Noordzijde,20038473,64436,64436,LW
209880540,24 X҉ GRUbiYan,20012773,0,0,
