Name,Player ID,Clan,Power,Kill Points,RSS Assistance,DKP,Dead
tao nè vn,210393177,LW,27935444,7718206,0,0.0,0.0
ATLAS007,209686553,LW,27458421,3561393,0,559963.0,18309.0
sencerbatur,210394486,LW,25645436,4071449,0,189546.0,0.0
NightStarr,210376950,LW,25364882,11834354,0,2346742.0,113030.0
ᴬᵈBethoven,211250823,LW,25168834,487028,54600000,30028.0,0.0
ᴿᵂ DuongBeu,211297033,LW,24436600,2911241,0,795760.0,0.0
Angry R bear,210189446,LW,23688751,1807384,0,548096.0,0.0
HOTBEAST FARM,211856683,LW,23233529,12786598,0,1883732.0,0.0
ฝันดี,209794039,LW,22510268,13727153,0,1466296.0,666.0
ᶜᵍDextrixs,209449139,LW,22492302,12048498,0,0.0,0.0
Bshusttt,210084771,LW,22477516,14825104,0,135902.0,0.0
Mitsumia,210679087,LW,22452017,201920,0,0.0,0.0
Menezobrrr,210039896,LW,21790802,100305,0,3910.0,0.0
Mefistófeles,210344374,LW,21680261,2908347,0,65336.0,0.0
thegoathimself,210370357,LW,21592156,5942453,0,207864.0,0.0
ᴿSAURON,207189272,LW,21377451,22710531,0,0.0,0.0
aj rimmer,209709756,LW,21073354,3144022,0,0.0,0.0
Incomeq,210409801,LW,20956811,4596992,0,0.0,0.0
NTTha farm,209617120,LW,20908357,20705356,0,0.0,0.0
ᴰᵀŞahmar,209762988,LW,20812365,2902396,0,0.0,0.0
BEYAZID 55,210376765,LW,20512835,12203901,0,2349950.0,65892.0
Andyko149,210045541,LW,20458961,1576355,0,0.0,0.0
ÐarkKnight,210398747,LW,20455988,1812385,931882,0.0,0.0
Almajidi,210265847,LW,20236020,985300,0,0.0,0.0
iXx,209837225,OT24,26431484,18058289,0,0.0,0.0
Szoboslai8,210245347,OT24,21023323,3135595,0,0.0,0.0
ᴳᴺAURELIUS,210253596,RAG9,28959207,37770793,0,0.0,0.0
ᴿᵂ Fredi888,208208571,RW24,26000763,12102864,0,30718.0,0.0
ᴹᴰLadyVic,210013615,SAL,29347283,44375932,0,0.0,0.0
Charli300,210330736,SAL,22711943,7332770,0,0.0,0.0
KristianCor,210750053,SAL,21889697,15117084,0,0.0,0.0
ESKAY FUN,210418063,SAL,20780327,5607311,0,174608.0,4036.0
24X҉AlphaWolf,209294221,SL,56935655,43977505,0,2983077.0,6919.0
24 X Blaze,209880966,SL,42610696,72714304,0,1838533.0,61365.0
marious1990,206949917,SL,40386954,23201363,0,97868.0,0.0
24 X҉  ReDemon,209838770,SL,38126650,21147177,0,40336.0,0.0
24 X҉  Malrin,209875786,SL,35547312,79131187,0,2277148.0,70352.0
ᴮᴺ Lee Myon,209692424,SL,35462360,31830920,0,551848.0,0.0
24X҉   Valetta,209905807,SL,33324469,5459624,0,2230.0,0.0
24 X҉ AndiUmar,208973298,SL,32503509,43047159,0,2465898.0,49438.0
Jinozz,210101700,SL,32034900,34913955,0,531358.0,0.0
ᴱᶻLelya Fm,209320692,SL,29838190,24619191,9200000,412844.0,0.0
ThienDi,204517431,SL,25669805,61763859,82942520,2740353.0,89595.0
ᴹɪɴɪK0uisF,212333596,SL,22126987,2474231,0,229140.0,0.0
우라차차,209926937,SLF,24889551,1619612,0,0.0,0.0
SlowZ06guy,210403265,SLF,22769003,224750,0,0.0,0.0
Lionfarm,211294741,SLF,22557672,3643659,0,0.0,0.0
ᶲAKa Rùa,209112837,SLF,21411651,22026421,0,0.0,0.0
BatesS,210372206,SLF,21291255,1258453,0,803895.0,53593.0
