Name,Player ID,Clan,Power,Kill Points,RSS Assistance,DKP,Dead
Paulo21,207069617,LW,25176250.0,6352706,0,8119994.0,464442.0
EevisM,209657050,LW,24489758.0,10990114,0,3986116.0,166108.0
ᴴᴰMIKOTO,209821264,LW,24368871.0,13938748,0,12728133.0,584471.0
ᴰᴾJoe Black,208821197,LW,23123461.0,25071590,0,4509792.0,285194.0
Kandamiala,210229272,LW,23072628.0,6558208,0,8278136.0,421726.0
HOY PINOY FARM,207122584,LW,22113442.0,14311415,0,4252194.0,237950.0
SCOURGE OF GOD,210446135,LW,22013710.0,94040687,0,16662342.0,637098.0
24 X҉   AxeTR,211209147,RAG9,23776098.0,4821984,0,16044327.0,1031497.0
kurinin23,209853474,SAL,25000000.0,14526137,0,9382567.0,608601.0
Supper Saiyan,210435381,SAL,24155481.0,6651596,0,14934777.0,920607.0
todays 12,210346486,SL,58093324.0,88615137,0,17341140.0,194144.0
ᴮᴺGLE400,210262314,SL,52979400.0,45336549,930000000,8161278.0,165710.0
24 X҉WilliamQ8,209502334,SL,45711530.0,30811962,0,4793906.0,198070.0
24 X҉  Visna,209927994,SL,38920993.0,68806064,0,11352915.0,274189.0
jaims cat,209333993,SL,36500088.0,29831926,18400000,5313185.0,255099.0
24 X҉  Slayer,210482880,SL,34664813.0,82784403,0,19839286.0,205750.0
ᴱᶻIvanRR,209367117,SL,33938911.0,21388153,0,11028233.0,414533.0
TOMBOYY,209043926,SL,33782342.0,63780983,0,14483105.0,363803.0
ᴿᶠMixey911,210233153,SL,33063053.0,53481941,0,10273977.0,350191.0
Алекс 2909,210254146,SL,32735896.0,32866563,0,14683793.0,740631.0
TheinOo,208718417,SL,32268371.0,53622371,0,13489345.0,225721.0
Ita city,210213330,SL,30771673.0,7492742,0,12447220.0,769964.0
Teung,209838834,SL,30331181.0,29449818,0,14582398.0,724378.0
24 X҉  dayday,210103821,SL,30305911.0,45234137,18400000,14520873.0,365255.0
LuffyOldfarm,207566610,SL,30301031.0,81180718,0,17588890.0,497386.0
xFACAx,210082550,SL,29520327.0,28287385,0,26971931.0,1613497.0
xxAgresif,207742044,SL,29423940.0,65074022,0,13136829.0,328857.0
ᴮᴺAquemini,209938736,SL,28690283.0,65783180,0,10165960.0,186664.0
methusala,210412615,SL,28540058.0,36770907,18400000,5763027.0,178673.0
Lamnesik,218982356,SL,27774452.0,19860282,0,6443828.0,65460.0
石木,211329312,SL,27527218.0,22263435,0,3867995.0,20093.0
24 X҉ Sawakita,207933613,SL,27062288.0,50794390,0,5197953.0,68567.0
THE END rog,209323093,SL,26460896.0,30647079,0,3640560.0,19198.0
AMADIOHA,207786640,SL,25281246.0,92914331,0,19112790.0,724278.0
Huyメ,210834790,SL,23829816.0,20199611,0,6748929.0,216921.0
24 X҉ PPPhúc,210438552,SLF,26657147.0,59180943,0,19011985.0,631193.0
